model,dataflow,array,layer,avf,std_avf
LeNet-5,IS,64x64,classifier,0.002897747955869176,2.032975637651371e-05
LeNet-5,IS,128x128,conv1,0.01812657526419865,0.00023384292223039367
LeNet-5,IS,128x128,conv2,0.20523605374232579,0.0013684130285450127
LeNet-5,IS,128x128,conv3,0.1954341140524125,0.0022756028975532278
LeNet-5,IS,128x128,dense1,0.0029141757713186285,3.131555799042883e-05
LeNet-5,IS,128x128,dense2,0.002556053919309244,2.3068671489223583e-05
LeNet-5,IS,128x128,classifier,0.0010555288885946326,5.340868200609543e-06
LeNet-5,IS,256x256,conv1,0.0074139538276486285,6.872700519210347e-05
LeNet-5,IS,256x256,conv2,0.13165723136723556,0.0005825854360456856
LeNet-5,IS,256x256,conv3,0.07887287318439662,0.0006814305380035761
LeNet-5,IS,256x256,dense1,0.0011088693242031467,9.287831487623506e-06
LeNet-5,IS,256x256,dense2,0.000639013479827311,5.767167872305896e-06
LeNet-5,IS,256x256,classifier,0.00026388222214865814,1.3352170501523858e-06
LeNet-5,IS,512x512,conv1,0.002940233853196851,1.82500467155197e-05
LeNet-5,IS,512x512,conv2,0.07723397899652404,0.0002557461984369018
LeNet-5,IS,512x512,conv3,0.033174192571596935,0.000189055423653431
LeNet-5,IS,512x512,dense1,0.00044054521754764464,2.5605409218508992e-06
LeNet-5,IS,512x512,dense2,0.00015975336995682776,1.441791968076474e-06
LeNet-5,IS,512x512,classifier,6.597055553716454e-05,3.3380426253809646e-07
LeNet-5,OS,32x32,conv1,0.23374198717948716,0.0023512341802357185
LeNet-5,OS,32x32,conv2,0.71306001984127,0.009623201716929881
LeNet-5,OS,32x32,conv3,0.5950262892894876,0.01415129282091737
LeNet-5,OS,32x32,dense1,0.02475462395258533,0.00037256105901059506
LeNet-5,OS,32x32,dense2,0.019173051075268815,0.0002690848906613954
LeNet-5,OS,32x32,classifier,0.007602486559139785,0.0001626380510121101
LeNet-5,OS,64x64,conv1,0.10555660822021118,0.0008160165684347464
LeNet-5,OS,64x64,conv2,0.628593414519592,0.008135557007066323
LeNet-5,OS,64x64,conv3,0.5561457197795543,0.01297887466569602
LeNet-5,OS,64x64,dense1,0.012189253858488673,0.00018269605750038497
LeNet-5,OS,64x64,dense2,0.006840829943293885,9.254768798635271e-05
LeNet-5,OS,64x64,classifier,0.0019006216397849463,4.065951275302752e-05
LeNet-5,OS,128x128,conv1,0.04669598500457875,0.00024771931541769145
LeNet-5,OS,128x128,conv2,0.26090631941458875,0.0032580702287542057
LeNet-5,OS,128x128,conv3,0.26329827588640464,0.0060497735569097965
LeNet-5,OS,128x128,dense1,0.0059170225342597945,8.796280938712802e-05
LeNet-5,OS,128x128,dense2,0.002862994297985782,3.7062936658041735e-05
LeNet-5,OS,128x128,classifier,0.00047515540994623657,1.016487818825688e-05
LeNet-5,OS,256x256,conv1,0.021067679598833534,7.106701671819016e-05
LeNet-5,OS,256x256,conv2,0.0998669688845326,0.0011651708720913725
LeNet-5,OS,256x256,conv3,0.06582456897160116,0.0015124433892274491
LeNet-5,OS,256x256,dense1,0.0014792556335649486,2.1990702346782005e-05
LeNet-5,OS,256x256,dense2,0.0007157485744964455,9.265734164510434e-06
LeNet-5,OS,256x256,classifier,0.00011878885248655914,2.54121954706422e-06
LeNet-5,OS,512x512,conv1,0.009076039982938218,1.868572422331724e-05
LeNet-5,OS,512x512,conv2,0.03599471487844501,0.00037119275823287016
LeNet-5,OS,512x512,conv3,0.01645614224290029,0.0003781108473068623
LeNet-5,OS,512x512,dense1,0.00036981390839123715,5.497675586695501e-06
LeNet-5,OS,512x512,dense2,0.00017893714362411138,2.3164335411276085e-06
LeNet-5,OS,512x512,classifier,2.9697213121639786e-05,6.35304886766055e-07
Cifar-10 CNN,WS,32x32,conv1,0.7829990260840105,0.004809217496961058
