model,dataflow,array,mean_avf,std_avf,accuracy_percent,image_source,image_count
LeNet-5,WS,32x32,0.3521059212528086,0.007134754216616301,98.65999817848206,MNIST test,100
LeNet-5,WS,64x64,0.23324542588579142,0.0055488172792159535,98.65999817848206,MNIST test,100
LeNet-5,WS,128x128,0.11895702926624648,0.003544092441805954,98.65999817848206,MNIST test,100
LeNet-5,WS,256x256,0.045198074976963654,0.0015709537631313163,98.65999817848206,MNIST test,100
LeNet-5,WS,512x512,0.018091237558539836,0.0007527972398677391,98.65999817848206,MNIST test,100
LeNet-5,IS,32x32,0.31681618450976656,0.004040171019305705,98.65999817848206,MNIST test,100
LeNet-5,IS,64x64,0.19948933638841623,0.002098386414108597,98.65999817848206,MNIST test,100
LeNet-5,IS,128x128,0.11226252718596735,0.0008860603900656304,98.65999817848206,MNIST test,100
LeNet-5,IS,256x256,0.055086769191528065,0.00029702135857968343,98.65999817848206,MNIST test,100
LeNet-5,IS,512x512,0.023542968851431968,9.201631768829384e-05,98.65999817848206,MNIST test,100
LeNet-5,OS,32x32,0.4766193585643213,0.0074657942461149795,98.65999817848206,MNIST test,100
LeNet-5,OS,64x64,0.3278869973571525,0.004919751607787131,98.65999817848206,MNIST test,100
LeNet-5,OS,128x128,0.14230517103802387,0.0020408161956699,98.65999817848206,MNIST test,100
LeNet-5,OS,256x256,0.04440740902483294,0.0005905503688799992,98.65999817848206,MNIST test,100
LeNet-5,OS,512x512,0.013668766306565603,0.00015960488194152107,98.65999817848206,MNIST test,100
Cifar-10 CNN,WS,32x32,0.17399589894323098,0.004180115584526449,73.28000068664551,CIFAR-10 test,100
Cifar-10 CNN,WS,64x64,0.10780169331708683,0.003971367221791671,73.28000068664551,CIFAR-10 test,100
Cifar-10 CNN,WS,128x128,0.06543927546118083,0.003397568935151696,73.28000068664551,CIFAR-10 test,100
Cifar-10 CNN,WS,256x256,0.04121442401450242,0.002735143631035748,73.28000068664551,CIFAR-10 test,100
Cifar-10 CNN,WS,512x512,0.026467037383345958,0.0020864004215185453,73.28000068664551,CIFAR-10 test,100
Cifar-10 CNN,IS,32x32,0.22676504827583396,0.0007645225768475681,73.28000068664551,CIFAR-10 test,100
Cifar-10 CNN,IS,64x64,0.14126567791622452,0.00037620765568830263,73.28000068664551,CIFAR-10 test,100
Cifar-10 CNN,IS,128x128,0.08596613227749823,0.00016187762020671823,73.28000068664551,CIFAR-10 test,100
Cifar-10 CNN,IS,256x256,0.049022095889836234,5.998020414390278e-05,73.28000068664551,CIFAR-10 test,100
Cifar-10 CNN,IS,512x512,0.022340573585111868,2.041700500139387e-05,73.28000068664551,CIFAR-10 test,100
Cifar-10 CNN,OS,32x32,0.28724522461919255,0.0013060127380193549,73.28000068664551,CIFAR-10 test,100
Cifar-10 CNN,OS,64x64,0.14914517217382214,0.000657026089158774,73.28000068664551,CIFAR-10 test,100
Cifar-10 CNN,OS,128x128,0.06753782920383984,0.00028325255708893353,73.28000068664551,CIFAR-10 test,100
Cifar-10 CNN,OS,256x256,0.02807679564954413,0.00010954867168320371,73.28000068664551,CIFAR-10 test,100
Cifar-10 CNN,OS,512x512,0.010742036571726796,3.7601911878559175e-05,73.28000068664551,CIFAR-10 test,100
VGG-16,WS,32x32,0.466514945536687,0.0011401940294251424,nan,CIFAR-10 test upscaled fallback,20
VGG-16,WS,64x64,0.3305040721790297,0.0011935713563417743,nan,CIFAR-10 test upscaled fallback,20
VGG-16,WS,128x128,0.2091206289299507,0.0012713049980779699,nan,CIFAR-10 test upscaled fallback,20
VGG-16,WS,256x256,0.12523025164906815,0.0012911905282165278,nan,CIFAR-10 test upscaled fallback,20
VGG-16,WS,512x512,0.07443675305175566,0.0012178192187138556,nan,CIFAR-10 test upscaled fallback,20
VGG-16,IS,32x32,0.5123793144369959,0.000868879218997475,nan,CIFAR-10 test upscaled fallback,20
VGG-16,IS,64x64,0.3816767254205273,0.0005926856414551581,nan,CIFAR-10 test upscaled fallback,20
VGG-16,IS,128x128,0.2657084739660339,0.000355024002611541,nan,CIFAR-10 test upscaled fallback,20
VGG-16,IS,256x256,0.17889490310618122,0.00018757613694229578,nan,CIFAR-10 test upscaled fallback,20
VGG-16,IS,512x512,0.1179865020846618,8.745895303530192e-05,nan,CIFAR-10 test upscaled fallback,20
VGG-16,OS,32x32,0.6303316252808384,0.0011643923611861556,nan,CIFAR-10 test upscaled fallback,20
VGG-16,OS,64x64,0.5066342719520821,0.0009255225205890141,nan,CIFAR-10 test upscaled fallback,20
VGG-16,OS,128x128,0.3421131587090577,0.0006146549627954223,nan,CIFAR-10 test upscaled fallback,20
VGG-16,OS,256x256,0.19158935592443022,0.0003348893917925931,nan,CIFAR-10 test upscaled fallback,20
VGG-16,OS,512x512,0.0910164107435592,0.00015228265279333233,nan,CIFAR-10 test upscaled fallback,20
